neutron_id,status,reached_detector,detector_hit_x_m,detector_hit_y_m,detector_hit_z_m,velocity_magnitude_m_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,direction_x,direction_y,direction_z,final_energy_MeV,initial_energy_MeV,energy_after_shell_MeV,energy_after_channel_MeV,total_flight_time_s,total_flight_time_ns,final_position_x_m,final_position_y_m,final_position_z_m,exit_position_x_m,exit_position_y_m,exit_position_z_m
1,lost_in_channel,False,,,,211804.73505344347,146881.9352187228,-23372.19210226238,-150800.14434276,0.6934780527057666,-0.11034782624838396,-0.7119772100690265,0.00023449141803544147,2.441658761582497,2.218849106388168,2.441658761582497,6.473184495220167e-08,64.73184495220167,0.1015570660757345,-0.006268345155512339,1.1765152343063405,0.12169091145801778,-0.03659095355349431,1.2014627297450964
2,missed_detector,False,,,,21536111.983810406,607789.4391143881,3652348.5288097863,21215443.94070094,0.02822187401195205,0.1695918247246954,0.9851102165817801,2.424321565889014,2.424321565889014,2.424321565889014,2.424321565889014,2.9065105766588886e-07,290.65105766588886,0.1766546433428667,1.0615589630199334,6.1662912211275795,0.03554527328310644,0.2135998393964564,1.2407401382186793
3,lost_in_channel,False,,,,3048773.6282633105,-1642010.976386768,2153714.145956241,1400119.9831897204,-0.5385808120237893,0.7064198292685551,0.45924038774478587,0.04858542225617517,2.318019281050553,2.318019281050553,0.7178183437909443,2.512187753263395e-08,25.12187753263395,0.03017763788994794,0.024754584954894316,0.42643758768618173,-0.02113873025804185,-0.008380976699652447,0.30000000000000004
4,missed_detector,False,,,,19400803.462692976,-10224082.259965174,-7182532.060472651,-14841514.415307749,-0.5269927237614517,-0.37021827855142153,-0.7649948335308602,1.9674108198507996,2.3435480418206764,1.9674108198507996,1.9674108198507996,4.2089603406938447e-07,420.8960340693845,-3.7725989506835385,-2.419637787453452,-4.1994481523317955,-0.06490464803402117,0.18505890043319836,1.182726701229551
5,lost_in_channel,False,,,,1615876.3191363176,-1315778.5559782893,849671.050794177,397293.56377311365,-0.81428172465673,0.5258267855848796,0.24586879519681692,0.013648089315776555,2.432462519164806,2.432462519164806,0.6119008688598538,3.238478224736574e-08,32.38478224736574,-0.03586158059125285,-0.028123957576446854,0.45093335850627564,0.006934869953407131,-0.011184390129084898,0.29999999999999993
6,missed_detector,False,,,,9507198.31453366,8254636.713026609,58755.70118651519,-4716390.600385321,0.8682512386859271,0.006180127861295931,-0.49608627529893556,0.47245530459463836,2.634624305089914,2.634624305089914,0.47245530459463836,5.406888622454237e-07,540.6888622454237,4.3527311844417955,0.0030479868758286725,-2.1788043787995806,-0.0021322395827382302,-0.028960406656775118,0.29999999999999993
7,success,True,0.0381378017989219,-0.03156654665561648,2.9,21475456.734733414,282381.8598221237,-233726.63688830653,21472328.10642244,0.013149050253511598,-0.010883430316538406,0.9998543160990884,2.4106848655821276,2.4106848655821276,2.4106848655821276,2.4106848655821276,1.3505754875118687e-07,135.05754875118689,0.0381378017989219,-0.03156654665561648,2.9,0.0381378017989219,-0.03156654665561648,2.9
8,lost_in_channel,False,,,,1643217.7047541635,676788.501944837,1024464.157046469,-1092059.9524659223,0.41186782493077456,0.6234500480870463,-0.6645862865926837,0.014113860946864315,2.372033470410358,2.372033470410358,2.372033470410358,6.644655301964114e-08,66.44655301964114,0.19647829057885255,-0.00039192377313455396,1.3983428614997988,0.1754784513507573,-0.002116828876074126,1.2467594247516858
9,lost_in_channel,False,,,,3000596.781385131,-1750274.328181834,-607802.6981357466,-2360232.340407475,-0.5833087401279804,-0.20256060457919095,-0.7865876398487462,0.047062056554232644,2.27182789619833,2.27182789619833,2.27182789619833,6.58203672314217e-08,65.8203672314217,-0.1459811726559869,-0.11892203973622303,1.3547453390402557,-0.133610106032788,-0.1074403266050569,1.2475185433339595
10,lost_in_shell,False,,,,4317326.769683169,-1483209.1567830543,-2583294.234272292,-3125058.708669862,-0.3435480416257445,-0.598355040533999,-0.7238411348926449,0.09742837628160081,2.537936435861077,0.10013770307478678,0.10028323388812116,1.6154837925645083e-07,161.54837925645083,0.13279361978755416,-0.27878834230579486,1.230467601698946,-0.15635849930273849,0.04555188636290541,1.248468647606201
