neutron_id,step_id,event_type,position_x_m,position_y_m,position_z_m,energy_MeV
1,0,start,0.0,0.0,0.0,2.4062784325387874
1,1,enter_PE,0.003862290725962692,0.01940303559285244,0.3,2.4062784325387874
1,2,scatter_PE,0.004210377065521417,0.02115172105312685,0.32703729710600404,1.9945784071240586
1,3,scatter_PE,0.0012619211845702008,0.023228133239851102,0.33451919967566346,0.3117550156436602
1,4,exit_PE,0.0032214366518593233,0.018311101026610824,0.34000000071931674,0.3117550156436602
1,5,enter_PE,0.015525481041953382,-0.012563563465284349,0.3744146406954318,0.3117550156436602
1,6,scatter_PE,0.015657306536523596,-0.012894354527742666,0.37478335904457555,0.007989426078758041
2,0,start,0.0,0.0,0.0,2.411519900495216
2,1,enter_Al,0.08932493692249237,0.16919855943032622,1.1836569943961508,2.411519900495216
2,2,exit_Al,0.09376641568310817,0.17761157189837484,1.2425116388167399,2.411519900495216
2,3,enter_PE,0.1018780486376323,0.19297656019636766,1.35,2.411519900495216
2,4,scatter_PE,0.1035237519463896,0.19609383784228493,1.371807440332163,1.2907863161988713
2,5,exit_PE,0.0998080439516027,0.20500000068990862,1.3803818804989676,1.2907863161988713
2,6,escape,-1.3393633225943953,3.6545430148553333,4.701441767212342,1.2907863161988713
3,0,start,0.0,0.0,0.0,2.491469986869826
3,1,enter_Al,0.18366571398760256,0.07302548351779155,1.1827116318077737,2.491469986869826
3,2,exit_Al,0.1927430255797099,0.0766346223911473,1.2411647952885396,2.491469986869826
3,3,escape,0.9585827486117716,0.3811324780732528,6.172774124352549,2.491469986869826
4,0,start,0.0,0.0,0.0,2.571102674245837
4,1,enter_PE,0.02135556197592443,0.05954370797264611,0.5503425477128908,2.571102674245837
4,2,scatter_PE,0.021630391414940824,0.06030998908842883,0.5574250273884573,2.012033766067862
4,3,exit_PE,0.021509903580573617,0.06048012994946649,0.5572955139059074,2.012033766067862
4,4,enter_Al,-0.6436521916418437,0.9997554701124691,-0.15769334671144053,2.012033766067862
4,5,exit_Al,-0.6755357781176922,1.0447782799626082,-0.191965307381627,2.012033766067862
4,6,escape,-3.1301001342847856,4.510868406189525,-2.8303991341633994,2.012033766067862
5,0,start,0.0,0.0,0.0,2.545230472551884
5,1,enter_PE,-0.021431493703717566,0.03193433272030852,0.3640893004866941,2.545230472551884
5,2,scatter_PE,-0.022741189837729592,0.03388586594912807,0.3863390958520937,1.544112734180919
5,3,scatter_PE,-0.005276772087479599,0.027527057348771984,0.41407399184387067,0.5277204978479035
5,4,scatter_PE,0.013408142238731484,0.0157867408959067,0.41516493687495065,0.09414334061560455
6,0,start,0.0,0.0,0.0,2.4561847910308234
6,1,enter_PE,-0.018579720788623234,0.01467941601034148,0.29999999999999993,2.4561847910308234
6,2,scatter_PE,-0.020741990260750853,0.016387776080383998,0.3349133794322402,2.2179900135143655
6,3,exit_PE,-0.022440082359666266,0.02693176182277409,0.3387084418121755,2.2179900135143655
6,4,enter_Al,-0.1747476104569265,0.9726569116788449,0.6791002088029328,2.2179900135143655
6,5,exit_Al,-0.18399657815337497,1.0300866491974794,0.6997707068168203,2.2179900135143655
6,6,escape,-0.9331046843296795,5.681533526593995,2.3739508022722533,2.2179900135143655
7,0,start,0.0,0.0,0.0,2.5660777982471186
7,1,enter_Al,0.14205689194507598,-0.1199432645518281,1.1838561735103275,2.5660777982471186
7,2,exit_Al,0.14924397811311638,-0.12601155568368919,1.243751024179558,2.5660777982471186
7,3,enter_PE,0.1619933302853867,-0.1367762493182246,1.35,2.5660777982471186
7,4,scatter_PE,0.16250218836560715,-0.13720589478279535,1.3542406585943223,2.0382972799675043
7,5,scatter_PE,0.17035245665833143,-0.13411774013509106,1.3687641581204317,0.026378912616118494
8,0,start,0.0,0.0,0.0,2.517877392988304
8,1,enter_PE,0.021778508891498686,7.622839341795345e-05,0.3,2.517877392988304
8,2,scatter_PE,0.028432344201199257,9.951792064192777e-05,0.39165689914103236,0.9596378978899112
8,3,scatter_PE,0.034192710955266575,-0.004130670213896082,0.3966286671814879,0.008659773355256955
9,0,start,0.0,0.0,0.0,2.529893825223125
9,1,enter_PE,0.03630323021769994,0.03752289988027629,0.46703125010552515,2.529893825223125
9,2,scatter_PE,0.039033172686575635,0.040344559477074195,0.5021512225242207,0.7076899640514395
9,3,scatter_PE,0.04012923754938029,0.03863491649852254,0.5035011603787699,0.4076452622212518
9,4,scatter_PE,0.04204438019581568,0.03778647934090384,0.503766399961581,0.001954441622920014
10,0,start,0.0,0.0,0.0,2.577028126337019
10,1,enter_PE,0.009518881080339516,0.03106533920146016,0.3189516282223574,2.577028126337019
10,2,scatter_PE,0.011850558701783084,0.038674884441835686,0.39707975773382864,2.31282864012345
10,3,exit_PE,0.024086821926924917,0.04061206736865497,0.43019098204145273,2.31282864012345
10,4,enter_Al,0.29371992343721837,0.08329900791091491,1.1598158634777718,2.31282864012345
10,5,exit_Al,0.3144431703569677,0.08657980690833378,1.2158927935434982,2.31282864012345
10,6,escape,2.0450284167069848,0.36055725663712856,5.89884176424089,2.31282864012345
11,0,start,0.0,0.0,0.0,2.5457520498570365
11,1,detector_hit,0.027862060706266595,-0.06854516863895625,2.9,2.5457520498570365
12,0,start,0.0,0.0,0.0,2.432629768874486
12,1,enter_Al,-0.15583242421546406,0.02218924426640973,1.1887446647838027,2.432629768874486
12,2,exit_Al,-0.16361841947667818,0.023297905391191517,1.2481389812965389,2.432629768874486
12,3,enter_PE,-0.17697137065943194,0.025199254850158382,1.35,2.432629768874486
