Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
4500000.0 ; 1.6676996
4540000.0 ; 1.60149986
4553000.0 ; 1.58274794
4580000.0 ; 1.54380017
4640000.0 ; 1.46879969
4700000.0 ; 1.4036002
4780000.0 ; 1.32619989
4812000.0 ; 1.29670016
4812089.0 ; 1.29661416
4850000.0 ; 1.27050049
4900000.0 ; 1.25179942
4919400.0 ; 1.27509952
4920000.0 ; 1.27942209
4930000.0 ; 1.35277818
4934500.0 ; 1.38519992
4935500.0 ; 1.76339952
4936700.0 ; 2.01159965
4938500.0 ; 1.98590035
4939500.0 ; 1.78279996
4940000.0 ; 1.73976226
4943200.0 ; 1.46390005
4948100.0 ; 1.32559991
4950000.0 ; 1.31221135
4954600.0 ; 1.28060006
4958400.0 ; 1.25929978
4980000.0 ; 1.22363661
5000000.0 ; 1.18325173
5001000.0 ; 1.19539979
5030000.0 ; 1.17726062
5053000.0 ; 1.17250023
5100000.0 ; 1.15119981
5120000.0 ; 1.11250006
5150000.0 ; 1.13570043
5180000.0 ; 1.12469979
5200000.0 ; 1.10780004
5230000.0 ; 1.09820041
5280000.0 ; 1.06490002
5300000.0 ; 1.05809997
5330000.0 ; 1.04550004
5335000.0 ; 1.0796
5340000.0 ; 1.02709996
5360000.0 ; 1.57830001
5362000.0 ; 1.82550003
5370000.0 ; 1.99230013
5371000.0 ; 1.97160014
5378000.0 ; 1.75770023
5380000.0 ; 1.67960025
5390000.0 ; 1.46270037
5400000.0 ; 1.3277005
5410000.0 ; 1.26109962
5420000.0 ; 1.22779974
5430000.0 ; 1.19899987
5440000.0 ; 1.19099999
5460000.0 ; 1.14570024
5500000.0 ; 1.11900003
5550000.0 ; 1.10120004
5553000.0 ; 1.11089998
5600000.0 ; 1.08879999
5650000.0 ; 1.07919997
5700000.0 ; 1.06819995
5800000.0 ; 1.07880001
5900000.0 ; 1.07969997
6000000.0 ; 1.09750003
6050000.0 ; 1.10410001
6053000.0 ; 1.10799998
6125000.0 ; 1.1332
6160000.0 ; 1.16228568
6174000.0 ; 1.18939998
6180000.0 ; 1.19664665
6181200.0 ; 1.19789998
6181241.0 ; 1.19796478
6190000.0 ; 1.21185983
6200000.0 ; 1.22780001
6210000.0 ; 1.27464959
6220000.0 ; 1.29319987
6230000.0 ; 1.34510015
6240000.0 ; 1.42810043
6250000.0 ; 1.50319971
6285000.0 ; 2.4153997
6295000.0 ; 2.71069926
6303000.0 ; 2.59899972
6310000.0 ; 2.36040011
6320000.0 ; 1.93509968
6330000.0 ; 1.70309996
6340000.0 ; 1.52059995
6350000.0 ; 1.48189994
6360000.0 ; 1.60089992
6370000.0 ; 1.40639991
6390000.0 ; 1.17839998
6400000.0 ; 1.15489997
6410000.0 ; 1.11769996
6420000.0 ; 1.09000005
6430000.0 ; 1.10290003
6440000.0 ; 1.07960002
6450000.0 ; 1.07980001
6470000.0 ; 1.06019998
6490000.0 ; 1.05759995
6510000.0 ; 1.03730003
6540000.0 ; 0.97209999
6553000.0 ; 0.895669973
6560000.0 ; 0.849100018
6570000.0 ; 0.769459983
6580000.0 ; 0.732240048
6590000.0 ; 0.743230012
6600000.0 ; 0.737829977
6620000.0 ; 0.781860006
6640000.0 ; 0.763830036
6658000.0 ; 0.935849952
6665000.0 ; 0.863109997
6670000.0 ; 0.84904003
6680000.0 ; 0.842779994
6700000.0 ; 0.836570024
6750000.0 ; 0.815830047
6810000.0 ; 0.797910035
6920000.0 ; 0.769900046
7000000.0 ; 0.744979964
7042280.0 ; 0.749533265
7045980.0 ; 0.753463159
7048940.0 ; 0.755479874
7052200.0 ; 0.756378921
7052640.0 ; 0.756390768
7053000.0 ; 0.756317806
7055600.0 ; 0.755647509
7058560.0 ; 0.753777355
7062260.0 ; 0.750111386
7066700.0 ; 0.744301604
7080020.0 ; 0.724324356
7084460.0 ; 0.718408574
7088900.0 ; 0.713240892
7092600.0 ; 0.709542923
7096300.0 ; 0.706398955
7100000.0 ; 0.703786986
7103700.0 ; 0.703224417
7107400.0 ; 0.703145749
7111100.0 ; 0.70352718
7116650.0 ; 0.704930327
7122200.0 ; 0.707313374
7125900.0 ; 0.709455805
7129600.0 ; 0.712065237
7133300.0 ; 0.715176668
7137000.0 ; 0.718842
7140000.0 ; 0.722319949
7140700.0 ; 0.723237531
7144400.0 ; 0.728810462
7147180.0 ; 0.733542386
7149260.0 ; 0.737448829
7151350.0 ; 0.741703273
7153430.0 ; 0.746335715
7155520.0 ; 0.751404159
7157600.0 ; 0.756951601
7159690.0 ; 0.763053045
7161770.0 ; 0.769769487
7163860.0 ; 0.777192931
7165940.0 ; 0.785409374
7168030.0 ; 0.794531817
7170110.0 ; 0.80466526
7172200.0 ; 0.815941703
7174280.0 ; 0.828475246
7176370.0 ; 0.84238859
7178450.0 ; 0.857759132
7180000.0 ; 0.870418713
7180950.0 ; 0.879529572
7183450.0 ; 0.905529664
7186790.0 ; 0.942520421
7190540.0 ; 0.984332961
7192630.0 ; 1.00558227
7194300.0 ; 1.0204257
7195960.0 ; 1.03259393
7197220.0 ; 1.03964767
7198470.0 ; 1.04467512
7199380.0 ; 1.04701208
7200000.0 ; 1.04772275
7200550.0 ; 1.04809543
7201800.0 ; 1.04693388
7203050.0 ; 1.04383032
7204720.0 ; 1.03703975
7206390.0 ; 1.02779418
7208890.0 ; 1.01083707
7214310.0 ; 0.970484841
7216810.0 ; 0.953318734
7219320.0 ; 0.938089026
7220000.0 ; 0.934306797
7220150.0 ; 0.933517891
7222240.0 ; 0.923675701
7224320.0 ; 0.915267911
7225000.0 ; 0.912981883
7226410.0 ; 0.909815459
7228490.0 ; 0.906342237
7230580.0 ; 0.904021811
7232660.0 ; 0.90267659
7234750.0 ; 0.902249164
7236830.0 ; 0.902575043
7238920.0 ; 0.903619518
7241000.0 ; 0.905242397
7243090.0 ; 0.907426871
7245170.0 ; 0.910052749
7247260.0 ; 0.913122224
7249340.0 ; 0.916531102
7250000.0 ; 0.917763311
7253510.0 ; 0.927748756
7257680.0 ; 0.940650909
7262950.0 ; 0.958127675
7269400.0 ; 0.980900418
7270000.0 ; 0.983127653
7275850.0 ; 1.01862394
7279080.0 ; 1.03857701
7280000.0 ; 1.04431841
7282300.0 ; 1.06177321
7288750.0 ; 1.11125699
7295200.0 ; 1.16136177
7301650.0 ; 1.21201005
7308100.0 ; 1.26314864
7314550.0 ; 1.31475022
7321000.0 ; 1.3667998
7327450.0 ; 1.41929738
7333900.0 ; 1.47225296
7340000.0 ; 1.52290197
7343580.0 ; 1.56140422
7350000.0 ; 1.63123773
7353250.0 ; 1.63223753
7359700.0 ; 1.63494266
7360000.0 ; 1.63509759
7366150.0 ; 1.66872248
7370000.0 ; 1.69018024
7372600.0 ; 1.68945357
7379050.0 ; 1.68749583
7388080.0 ; 1.68604539
7390660.0 ; 1.68609
7398400.0 ; 1.68629019
7400000.0 ; 1.68661027
7408720.0 ; 1.69603683
7411300.0 ; 1.69883432
7420000.0 ; 1.70856152
7426780.0 ; 1.71790327
7434520.0 ; 1.72688675
7437100.0 ; 1.72915084
7440970.0 ; 1.73250402
7447420.0 ; 1.73592666
7451160.0 ; 1.73651309
7453870.0 ; 1.73690306
7460320.0 ; 1.73546683
7461610.0 ; 1.73492099
7465480.0 ; 1.73253494
7469350.0 ; 1.73012158
7470000.0 ; 1.72954015
7480960.0 ; 1.72683201
7499020.0 ; 1.72141299
7505910.0 ; 1.72044115
7517460.0 ; 1.72075264
7518700.0 ; 1.7209484
7522400.0 ; 1.72170346
7529000.0 ; 1.72385341
7532280.0 ; 1.72081912
7542000.0 ; 1.713494
7542160.0 ; 1.71343517
7552040.0 ; 1.71117823
7553000.0 ; 1.71108122
7561920.0 ; 1.71303681
7571800.0 ; 1.71617437
7591560.0 ; 1.72483048
7596500.0 ; 1.7275412
7620000.0 ; 1.74063164
7621200.0 ; 1.74224686
7626140.0 ; 1.74898664
7650000.0 ; 1.78171613
7667000.0 ; 1.85277674
7670600.0 ; 1.86306551
7675540.0 ; 1.8771169
7680000.0 ; 1.88981461
7695300.0 ; 1.99883678
7698000.0 ; 2.01868826
7700000.0 ; 2.02604917
7705180.0 ; 2.08813573
